소스 파일,페이지 번호,추정 문제 번호,추출된 텍스트
2023.pdf,9,N/A,"홀수형
(확률과 통계)
3
9
20
5지선다형"
2023.pdf,9,23,"23. 다항식 
의 전개식에서 의 계수는? [2점]
①
②
③
④
⑤"
2023.pdf,9,24,"24. 숫자 , , , ,  중에서 중복을 허락하여 개를 택해 
일렬로 나열하여 만들 수 있는 네 자리의 자연수 중  이상인 
홀수의 개수는? [3점]
①
②
③
④
⑤
2023학년도 대학수학능력시험 문제지
(확률과 통계)
제2 교시
홀수형
1
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2023.pdf,10,N/A,"2
(확률과 통계)
홀수형
10
20"
2023.pdf,10,25,"25. 흰색 마스크 개, 검은색 마스크 개가 들어 있는 상자가 
있다. 이 상자에서 임의로 개의 마스크를 동시에 꺼낼 때, 
꺼낸 개의 마스크 중에서 적어도 한 개가 흰색 마스크일 
확률은? [3점]
①


②


③


④


⑤

"
2023.pdf,10,26,"26. 주머니에 이 적힌 흰 공 개, 가 적힌 흰 공 개, 
이 적힌 검은 공 개, 가 적힌 검은 공 개가 들어 있다.
이 주머니에서 임의로 개의 공을 동시에 꺼내는 시행을 한다. 
이 시행에서 꺼낸 개의 공 중에서 흰 공이 개이고 검은 공이 
개인 사건을 , 꺼낸 개의 공에 적혀 있는 수를 모두 곱한 
값이 인 사건을 라 할 때, P∪의 값은? [3점]
①


②

③


④


⑤

이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2023.pdf,11,N/A,"홀수형
(확률과 통계)
3
11
20"
2023.pdf,11,27,"27. 어느 회사에서 생산하는 샴푸 개의 용량은 정규분포 
N을 따른다고 한다. 이 회사에서 생산하는 샴푸 중에서 
개를 임의추출하여 얻은 표본평균을 이용하여 구한 에 
대한 신뢰도 %의 신뢰구간이 ≤≤이다. 
이 회사에서 생산하는 샴푸 중에서 개를 임의추출하여 얻은 
표본평균을 이용하여 구하는 에 대한 신뢰도 %의 
신뢰구간이 ≤≤일 때, 의 값이  이하가 되기 위한 
자연수 의 최솟값은? (단, 용량의 단위는 mL이고, 가 
표준정규분포를 따르는 확률변수일 때, P≤, 
P≤로 계산한다.) [3점]
①
②
③
④
⑤"
2023.pdf,11,28,"28. 연속확률변수 가 갖는 값의 범위는 ≤≤이고, 
의 확률밀도함수의 그래프가 그림과 같다.
P≤P≥
, P≤
일 때, 
의 값은? (단, , , 는 상수이다.) [4점]
①


②
③


④
⑤


이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2023.pdf,12,N/A,"4
(확률과 통계)
홀수형
12
20
단답형"
2023.pdf,12,29,"29. 앞면에는 부터 까지의 자연수가 하나씩 적혀 있고 
뒷면에는 모두 이 하나씩 적혀 있는 장의 카드가 있다. 
이 장의 카드가 그림과 같이  이하의 자연수 에 대하여 
번째 자리에 자연수 가 보이도록 놓여 있다. 
이 장의 카드와 한 개의 주사위를 사용하여 다음 시행을 한다. 
주사위를 한 번 던져 나온 눈의 수가 이면 
번째 자리에 놓여 있는 카드를 한 번 뒤집어 제자리에 
놓는다.
위의 시행을 번 반복한 후 장의 카드에 보이는 모든 수의 합이 
짝수일 때, 주사위의 의 눈이 한 번만 나왔을 확률은 
이다. 
의 값을 구하시오. (단, 와 는 서로소인 자연수이다.) 
[4점]"
2023.pdf,12,30,"30. 집합 는  이하의 자연수에 대하여 다음 조건을 
만족시키는 함수 →의 개수를 구하시오. [4점]
(가)  이하의 모든 자연수 에 대하여
≤이다.
(나) ≤≤일 때 ≤이고, 
≤≤일 때 ≥이다.
(다) 
* 확인 사항
◦답안지의 해당란에 필요한 내용을 정확히 기입(표기)했는지 확인
하시오.
◦이어서, ｢선택과목(미적분)｣ 문제가 제시되오니, 자신이 선택한 
과목인지 확인하시오.
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2023.pdf,13,N/A,"홀수형
(미적분)
3
13
20
5지선다형"
2023.pdf,13,23,"23. lim
→


ln
의 값은? [2점]
①
②
③
④
⑤"
2023.pdf,13,24,"24. lim
→∞






의 값은? [3점]
①

②


③


④

⑤


2023학년도 대학수학능력시험 문제지
(미적분)
제2 교시
1
홀수형
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2023.pdf,14,N/A,"2
(미적분)
홀수형
14
20"
2023.pdf,14,25,"25. 등비수열 에 대하여 lim
→∞


일 때, 
의 값은? [3점]
①
②
③
④
⑤"
2023.pdf,14,26,"26. 그림과 같이 곡선 
sectan≤≤
와 
축, 축 및 직선 
로 둘러싸인 부분을 밑면으로 하는 
입체도형이 있다. 이 입체도형을 축에 수직인 평면으로 자른 
단면이 모두 정사각형일 때, 이 입체도형의 부피는? [3점]
①



ln
②

ln
③

ln
④ln
⑤ln
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2023.pdf,15,N/A,"홀수형
(미적분)
3
15
20"
2023.pdf,15,27,"27. 그림과 같이 중심이 O, 반지름의 길이가 이고 중심각의 
크기가 
인 부채꼴 OAB이 있다. 호 AB 위에 점 P, 
선분 OA 위에 점 C, 선분 OB 위에 점 D을 사각형 
OCPD이 
OC
OD인 직사각형이 되도록 잡는다. 
부채꼴 OAB의 내부에 점 Q을 
PQ
AQ, ∠PQA

가 되도록 잡고, 이등변삼각형 PQA에 색칠하여 얻은 
그림을 이라 하자. 
그림 에서 선분 OA 위의 점 A와 선분 OB 위의 점 B를 

OQ
OA
OB가 되도록 잡고, 중심이 O, 반지름의 길이가 

OQ, 중심각의 크기가 
인 부채꼴 OAB를 그린다. 그림 을 
얻은 것과 같은 방법으로 네 점 P, C, D, Q를 잡고, 
이등변삼각형 PQA에 색칠하여 얻은 그림을 라 하자. 
이와 같은 과정을 계속하여 번째 얻은 그림 에 색칠되어 
있는 부분의 넓이를 이라 할 때, lim
→∞
의 값은? [3점]
①


②

③


④


⑤

"
2023.pdf,15,28,"28. 그림과 같이 중심이 O이고 길이가 인 선분 AB를 
지름으로 하는 반원 위에 ∠AOC 
인 점 C가 있다. 
호 BC 위에 점 P 와 호 CA 위에 점 Q를 
PB 
QC 가 되도록 
잡고, 선분 AP 위에 점 R를 ∠CQR 
가 되도록 잡는다. 
선분 AP 와 선분 CO의 교점을 S 라 하자. ∠PAB 일 때, 
삼각형 POB의 넓이를 , 사각형 CQRS 의 넓이를 라 
하자. lim
→

의 값은? (단, 
) [4점]
①
②
③
④
⑤
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2023.pdf,16,N/A,"4
(미적분)
홀수형
16
20
단답형"
2023.pdf,16,29,"29. 세 상수 , , 에 대하여 함수 가 
다음 조건을 만족시킨다.
(가)
lim
→∞


(나) ln
함수 의 역함수를 라 할 때, 



ln이다. 의 값을 구하시오. 
(단, , 는 유리수이고, ln는 무리수이다.) [4점]"
2023.pdf,16,30,"30. 최고차항의 계수가 양수인 삼차함수 와 
함수 sin 에 대하여 실수 전체의 집합에서 정의된 
합성함수 가 다음 조건을 만족시킨다.
(가) 함수 는 에서 극댓값 을 갖는다.
(나) 열린구간 에서 방정식 의 서로 다른 
실근의 개수는 이다.

, ′일 때, 
이다. 의 값을 
구하시오. (단, 와 는 서로소인 자연수이다.) [4점]
* 확인 사항
◦답안지의 해당란에 필요한 내용을 정확히 기입(표기)했는지 확인
하시오.
◦이어서, ｢선택과목(기하)｣ 문제가 제시되오니, 자신이 선택한 
과목인지 확인하시오.
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2023.pdf,17,N/A,"홀수형
(기하)
3
17
20
5지선다형"
2023.pdf,17,23,"23. 좌표공간의 점 A을 축에 대하여 대칭이동한 
점을 B라 하자. 점 C에 대하여 선분 BC의 길이는?
[2점]
①
②
③
④
⑤"
2023.pdf,17,24,"24. 초점이 F
이고 준선이 
인 포물선이 점 를 
지날 때, 의 값은? [3점]
①
②
③
④
⑤
2023학년도 대학수학능력시험 문제지
(기하)
제2 교시
1
홀수형
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2023.pdf,18,N/A,"2
(기하)
홀수형
18
20"
2023.pdf,18,25,"25. 타원 





 위의 점 에서의 접선의 
기울기가 
일 때, 이 타원의 두 초점 사이의 거리는? 
(단, , 는 양수이다.) [3점]
①
②
③
④
⑤"
2023.pdf,18,26,"26. 좌표평면에서 세 벡터 

,
,

에 대하여 두 벡터 
, 가 


⋅
,


(는 실수)
를 만족시킬 때, 
의 최솟값은? [3점]
①

②
③

④
⑤

이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2023.pdf,19,N/A,"홀수형
(기하)
3
19
20"
2023.pdf,19,27,"27. 좌표공간에 직선 AB를 포함하는 평면 가 있다. 평면  위에 
있지 않은 점 C에 대하여 직선 AB와 직선 AC가 이루는 예각의 
크기를 이라 할 때 sin
이고, 직선 AC와 평면 가 
이루는 예각의 크기는 
이다. 평면 ABC와 평면 가 
이루는 예각의 크기를 라 할 때, cos의 값은? [3점]
①


②


③


④


⑤

"
2023.pdf,19,28,"28. 두 초점이 F, F′()인 쌍곡선 와 축 
위의 점 A 가 있다. 쌍곡선 가 선분 AF 와 만나는 점을 P, 
선분 AF′ 과 만나는 점을 P′ 이라 하자. 
직선 AF 는 쌍곡선 의 한 점근선과 평행하고 

AP 
PP′ , 
PF 
일 때, 쌍곡선 의 주축의 길이는? [4점]
①


②

③

④


⑤

이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2023.pdf,20,N/A,"4
(기하)
홀수형
20
20
단답형"
2023.pdf,20,29,"29. 평면  위에 
AB 
CD 
AD , ∠ABC ∠BCD 
인 
사다리꼴 ABCD가 있다. 다음 조건을 만족시키는 평면  위의 
두 점 P , Q에 대하여 
CP⋅
DQ 의 값을 구하시오. [4점]
(가) 
AC 
AD
BP
(나) 
AC⋅
PQ 
(다) ×∠BQA ∠PBQ 
"
2023.pdf,20,30,"30. 좌표공간에 정사면체 ABCD가 있다. 정삼각형 BCD의 
외심을 중심으로 하고 점 B를 지나는 구를 라 하자. 
구 와 선분 AB가 만나는 점 중 B가 아닌 점을 P, 
구 와 선분 AC가 만나는 점 중 C가 아닌 점을 Q, 
구 와 선분 AD가 만나는 점 중 D가 아닌 점을 R라 하고, 
점 P 에서 구 에 접하는 평면을 라 하자. 
구 의 반지름의 길이가 일 때, 삼각형 PQR의 평면  
위로의 정사영의 넓이는 이다. 의 값을 구하시오. [4점]
* 확인 사항
◦답안지의 해당란에 필요한 내용을 정확히 기입(표기)했는지 확인
하시오.
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2023.pdf,21,N/A,"짝수형
1
1
20
5지선다형"
2023.pdf,21,1,"1. 



의 값은? [2점]
①

②

③
④
⑤"
2023.pdf,21,2,"2. lim
→∞


의 값은? [2점]
①
②
③
④
⑤"
2023.pdf,21,3,"3. 공비가 양수인 등비수열 이
,



를 만족시킬 때, 의 값은? [3점]
①
②
③
④
⑤"
2023.pdf,21,4,"4. 다항함수 에 대하여 함수 를

라 하자. , ′일 때, ′의 값은? [3점]
① 
②
③
④
⑤
2023학년도 대학수학능력시험 문제지
제2 교시
1
짝수형
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2023.pdf,22,N/A,"2  
짝수형
2
20"
2023.pdf,22,5,"5. tan이고 cos


일 때, cos의 값은? [3점]
①


②


③
④


⑤

"
2023.pdf,22,6,"6. 함수 는 에서 극대이고, 
에서 극소이다. 의 값은? (단, , 는 상수이다.) [3점]
①
②
③
④
⑤"
2023.pdf,22,7,"7. 모든 항이 양수이고 첫째항과 공차가 같은 등차수열 이








를 만족시킬 때, 의 값은? [3점]
①
②
③
④
⑤
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2023.pdf,23,N/A,"짝수형
3
3
20"
2023.pdf,23,8,"8. 점 에서 곡선 에 그은 접선의 절편은? 
[3점]
①

②
③

④
⑤
"
2023.pdf,23,9,"9. 함수 
tan
가 닫힌구간 




에서 최댓값 , 최솟값 을 가질 때, 
×의 값은? (단, , 는 상수이다.) [4점]
①

②


③

④

⑤
"
2023.pdf,23,10,"10. 두 곡선 , 와 축으로 둘러싸인 
부분의 넓이를 , 두 곡선 , 와 
직선 로 둘러싸인 부분의 넓이를 라 하자. 
일 때, 상수 의 값은? (단, ) [4점]
①


②


③

④


⑤


이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2023.pdf,24,N/A,"4  
짝수형
4
20"
2023.pdf,24,11,"11. 그림과 같이 사각형 ABCD가 한 원에 내접하고

AB , 
AC , 
AD , ∠BAC ∠CAD
일 때, 이 원의 반지름의 길이는? [4점]
①


②


③


④


⑤

"
2023.pdf,24,12,"12. 실수 전체의 집합에서 연속인 함수 가 다음 조건을 
만족시킨다. 
≤일 때, 이다.
(단, 은 자연수이다.)
열린구간 에서 정의된 함수







가 에서 최솟값 을 가질 때, 



의 값은? [4점]
①

②

③

④

⑤

이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2023.pdf,25,N/A,"짝수형
5
5
20"
2023.pdf,25,13,"13. 자연수 (≥)에 대하여 의 제곱근 중에서 정수가 
존재하도록 하는  이상의 자연수 의 개수를 이라 할 때, 



의 값은? [4점]
①
②
③
④
⑤"
2023.pdf,25,14,"14. 다항함수 에 대하여 함수 를 다음과 같이 정의한다.










≤≤
함수 lim
→
× lim
→
에 대하여 
<보기>에서 옳은 것만을 있는 대로 고른 것은? [4점]
<보 기>
ㄱ. 
ㄴ. 함수 는 실수 전체의 집합에서 연속이다.
ㄷ. 함수 가 닫힌구간 에서 감소하고 
이면 함수 는 실수 전체의 집합에서 
최솟값을 갖는다.
①ㄱ
②ㄴ
③ㄱ, ㄴ
④ㄱ, ㄷ
⑤ㄴ, ㄷ
또는
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2023.pdf,26,N/A,"6  
짝수형
6
20"
2023.pdf,26,15,"15. 모든 항이 자연수이고 다음 조건을 만족시키는 모든 수열 
에 대하여 의 최댓값과 최솟값을 각각 , 이라 할 때, 
의 값은? [4점]
(가) 
(나) 모든 자연수 에 대하여















이다.
①
②
③
④
⑤
단답형"
2023.pdf,26,16,"16. 방정식
loglog
를 만족시키는 실수 의 값을 구하시오. [3점]"
2023.pdf,26,17,"17. 함수 에 대하여 ′이고 일 때, 
의 값을 구하시오. [3점]
이
의 배수가 아닌 경우
이
의 배수인 경우
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2023.pdf,27,N/A,"짝수형
7
7
20"
2023.pdf,27,18,"18. 두 수열 , 에 대하여 



, 



일 때, 


의 값을 구하시오. [3점]"
2023.pdf,27,19,"19. 방정식 의 서로 다른 양의 실근의 
개수가 가 되도록 하는 정수 의 개수를 구하시오. [3점]"
2023.pdf,27,20,"20. 수직선 위를 움직이는 점 P 의 시각 (≥)에서의 
속도 와 가속도 가 다음 조건을 만족시킨다.
(가) ≤≤일 때, 이다.
(나) ≥일 때, 이다.
시각 에서 까지 점 P 가 움직인 거리를 구하시오. [4점]
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2023.pdf,28,N/A,"8  
짝수형
8
20"
2023.pdf,28,21,"21. 자연수 에 대하여 함수 를








log
≥
이라 하자. 실수 에 대하여 에 대한 방정식 의 서로 
다른 실근의 개수를 라 할 때, 함수 의 최댓값이 가 
되도록 하는 모든 자연수 의 값의 합을 구하시오. [4점]"
2023.pdf,28,22,"22. 최고차항의 계수가 인 삼차함수 와 실수 전체의 
집합에서 연속인 함수 가 다음 조건을 만족시킬 때, 
의 값을 구하시오. [4점]
(가) 모든 실수 에 대하여 
′이다.
(나) 함수 의 최솟값은 
이다.
(다) , 
* 확인 사항
◦답안지의 해당란에 필요한 내용을 정확히 기입(표기)했는지 확인
하시오.
◦이어서, ｢선택과목(확률과 통계)｣ 문제가 제시되오니, 자신이 
선택한 과목인지 확인하시오.
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2023.pdf,29,N/A,"짝수형
(확률과 통계)
3
9
20
5지선다형"
2023.pdf,29,23,"23. 다항식 
의 전개식에서 의 계수는? [2점]
①
②
③
④
⑤"
2023.pdf,29,24,"24. 숫자 , , , ,  중에서 중복을 허락하여 개를 택해 
일렬로 나열하여 만들 수 있는 네 자리의 자연수 중  이상인 
홀수의 개수는? [3점]
①
②
③
④
⑤
2023학년도 대학수학능력시험 문제지
(확률과 통계)
제2 교시
1
짝수형
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2023.pdf,30,N/A,"2
(확률과 통계)
짝수형
10
20"
2023.pdf,30,25,"25. 흰색 마스크 개, 검은색 마스크 개가 들어 있는 상자가 
있다. 이 상자에서 임의로 개의 마스크를 동시에 꺼낼 때, 
꺼낸 개의 마스크 중에서 적어도 한 개가 흰색 마스크일 
확률은? [3점]
①


②


③


④


⑤

"
2023.pdf,30,26,"26. 주머니에 이 적힌 흰 공 개, 가 적힌 흰 공 개, 
이 적힌 검은 공 개, 가 적힌 검은 공 개가 들어 있다.
이 주머니에서 임의로 개의 공을 동시에 꺼내는 시행을 한다. 
이 시행에서 꺼낸 개의 공 중에서 흰 공이 개이고 검은 공이 
개인 사건을 , 꺼낸 개의 공에 적혀 있는 수를 모두 곱한 
값이 인 사건을 라 할 때, P∪의 값은? [3점]
①


②

③


④


⑤

이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2023.pdf,31,N/A,"짝수형
(확률과 통계)
3
11
20"
2023.pdf,31,27,"27. 어느 회사에서 생산하는 샴푸 개의 용량은 정규분포 
N을 따른다고 한다. 이 회사에서 생산하는 샴푸 중에서 
개를 임의추출하여 얻은 표본평균을 이용하여 구한 에 
대한 신뢰도 %의 신뢰구간이 ≤≤이다. 
이 회사에서 생산하는 샴푸 중에서 개를 임의추출하여 얻은 
표본평균을 이용하여 구하는 에 대한 신뢰도 %의 
신뢰구간이 ≤≤일 때, 의 값이  이하가 되기 위한 
자연수 의 최솟값은? (단, 용량의 단위는 mL이고, 가 
표준정규분포를 따르는 확률변수일 때, P≤, 
P≤로 계산한다.) [3점]
①
②
③
④
⑤"
2023.pdf,31,28,"28. 연속확률변수 가 갖는 값의 범위는 ≤≤이고, 
의 확률밀도함수의 그래프가 그림과 같다.
P≤P≥
, P≤
일 때, 
의 값은? (단, , , 는 상수이다.) [4점]
①


②
③


④
⑤


이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2023.pdf,32,N/A,"4
(확률과 통계)
짝수형
12
20
단답형"
2023.pdf,32,29,"29. 앞면에는 부터 까지의 자연수가 하나씩 적혀 있고 
뒷면에는 모두 이 하나씩 적혀 있는 장의 카드가 있다. 
이 장의 카드가 그림과 같이  이하의 자연수 에 대하여 
번째 자리에 자연수 가 보이도록 놓여 있다. 
이 장의 카드와 한 개의 주사위를 사용하여 다음 시행을 한다. 
주사위를 한 번 던져 나온 눈의 수가 이면 
번째 자리에 놓여 있는 카드를 한 번 뒤집어 제자리에 
놓는다.
위의 시행을 번 반복한 후 장의 카드에 보이는 모든 수의 합이 
짝수일 때, 주사위의 의 눈이 한 번만 나왔을 확률은 
이다. 
의 값을 구하시오. (단, 와 는 서로소인 자연수이다.) 
[4점]"
2023.pdf,32,30,"30. 집합 는  이하의 자연수에 대하여 다음 조건을 
만족시키는 함수 →의 개수를 구하시오. [4점]
(가)  이하의 모든 자연수 에 대하여
≤이다.
(나) ≤≤일 때 ≤이고, 
≤≤일 때 ≥이다.
(다) 
* 확인 사항
◦답안지의 해당란에 필요한 내용을 정확히 기입(표기)했는지 확인
하시오.
◦이어서, ｢선택과목(미적분)｣ 문제가 제시되오니, 자신이 선택한 
과목인지 확인하시오.
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2023.pdf,33,N/A,"짝수형
(미적분)
3
13
20
5지선다형"
2023.pdf,33,23,"23. lim
→


ln
의 값은? [2점]
①
②
③
④
⑤"
2023.pdf,33,24,"24. lim
→∞






의 값은? [3점]
①

②


③


④

⑤


2023학년도 대학수학능력시험 문제지
(미적분)
제2 교시
1
짝수형
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2023.pdf,34,N/A,"2
(미적분)
짝수형
14
20"
2023.pdf,34,25,"25. 등비수열 에 대하여 lim
→∞


일 때, 
의 값은? [3점]
①
②
③
④
⑤"
2023.pdf,34,26,"26. 그림과 같이 곡선 
sectan≤≤
와 
축, 축 및 직선 
로 둘러싸인 부분을 밑면으로 하는 
입체도형이 있다. 이 입체도형을 축에 수직인 평면으로 자른 
단면이 모두 정사각형일 때, 이 입체도형의 부피는? [3점]
①



ln
②

ln
③

ln
④ln
⑤ln
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2023.pdf,35,N/A,"짝수형
(미적분)
3
15
20"
2023.pdf,35,27,"27. 그림과 같이 중심이 O, 반지름의 길이가 이고 중심각의 
크기가 
인 부채꼴 OAB이 있다. 호 AB 위에 점 P, 
선분 OA 위에 점 C, 선분 OB 위에 점 D을 사각형 
OCPD이 
OC
OD인 직사각형이 되도록 잡는다. 
부채꼴 OAB의 내부에 점 Q을 
PQ
AQ, ∠PQA

가 되도록 잡고, 이등변삼각형 PQA에 색칠하여 얻은 
그림을 이라 하자. 
그림 에서 선분 OA 위의 점 A와 선분 OB 위의 점 B를 

OQ
OA
OB가 되도록 잡고, 중심이 O, 반지름의 길이가 

OQ, 중심각의 크기가 
인 부채꼴 OAB를 그린다. 그림 을 
얻은 것과 같은 방법으로 네 점 P, C, D, Q를 잡고, 
이등변삼각형 PQA에 색칠하여 얻은 그림을 라 하자. 
이와 같은 과정을 계속하여 번째 얻은 그림 에 색칠되어 
있는 부분의 넓이를 이라 할 때, lim
→∞
의 값은? [3점]
①


②

③


④


⑤

"
2023.pdf,35,28,"28. 그림과 같이 중심이 O이고 길이가 인 선분 AB를 
지름으로 하는 반원 위에 ∠AOC 
인 점 C가 있다. 
호 BC 위에 점 P 와 호 CA 위에 점 Q를 
PB 
QC 가 되도록 
잡고, 선분 AP 위에 점 R를 ∠CQR 
가 되도록 잡는다. 
선분 AP 와 선분 CO의 교점을 S 라 하자. ∠PAB 일 때, 
삼각형 POB의 넓이를 , 사각형 CQRS 의 넓이를 라 
하자. lim
→

의 값은? (단, 
) [4점]
①
②
③
④
⑤
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2023.pdf,36,N/A,"4
(미적분)
짝수형
16
20
단답형"
2023.pdf,36,29,"29. 세 상수 , , 에 대하여 함수 가 
다음 조건을 만족시킨다.
(가)
lim
→∞


(나) ln
함수 의 역함수를 라 할 때, 



ln이다. 의 값을 구하시오. 
(단, , 는 유리수이고, ln는 무리수이다.) [4점]"
2023.pdf,36,30,"30. 최고차항의 계수가 양수인 삼차함수 와 
함수 sin 에 대하여 실수 전체의 집합에서 정의된 
합성함수 가 다음 조건을 만족시킨다.
(가) 함수 는 에서 극댓값 을 갖는다.
(나) 열린구간 에서 방정식 의 서로 다른 
실근의 개수는 이다.

, ′일 때, 
이다. 의 값을 
구하시오. (단, 와 는 서로소인 자연수이다.) [4점]
* 확인 사항
◦답안지의 해당란에 필요한 내용을 정확히 기입(표기)했는지 확인
하시오.
◦이어서, ｢선택과목(기하)｣ 문제가 제시되오니, 자신이 선택한 
과목인지 확인하시오.
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2023.pdf,37,N/A,"짝수형
(기하)
3
17
20
5지선다형"
2023.pdf,37,23,"23. 좌표공간의 점 A을 축에 대하여 대칭이동한 
점을 B라 하자. 점 C에 대하여 선분 BC의 길이는?
[2점]
①
②
③
④
⑤"
2023.pdf,37,24,"24. 초점이 F
이고 준선이 
인 포물선이 점 를 
지날 때, 의 값은? [3점]
①
②
③
④
⑤
2023학년도 대학수학능력시험 문제지
(기하)
제2 교시
1
짝수형
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2023.pdf,38,N/A,"2
(기하)
짝수형
18
20"
2023.pdf,38,25,"25. 타원 





 위의 점 에서의 접선의 
기울기가 
일 때, 이 타원의 두 초점 사이의 거리는? 
(단, , 는 양수이다.) [3점]
①
②
③
④
⑤"
2023.pdf,38,26,"26. 좌표평면에서 세 벡터 

,
,

에 대하여 두 벡터 
, 가 


⋅
,


(는 실수)
를 만족시킬 때, 
의 최솟값은? [3점]
①

②
③

④
⑤

이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2023.pdf,39,N/A,"짝수형
(기하)
3
19
20"
2023.pdf,39,27,"27. 좌표공간에 직선 AB를 포함하는 평면 가 있다. 평면  위에 
있지 않은 점 C에 대하여 직선 AB와 직선 AC가 이루는 예각의 
크기를 이라 할 때 sin
이고, 직선 AC와 평면 가 
이루는 예각의 크기는 
이다. 평면 ABC와 평면 가 
이루는 예각의 크기를 라 할 때, cos의 값은? [3점]
①


②


③


④


⑤

"
2023.pdf,39,28,"28. 두 초점이 F, F′()인 쌍곡선 와 축 
위의 점 A 가 있다. 쌍곡선 가 선분 AF 와 만나는 점을 P, 
선분 AF′ 과 만나는 점을 P′ 이라 하자. 
직선 AF 는 쌍곡선 의 한 점근선과 평행하고 

AP 
PP′ , 
PF 
일 때, 쌍곡선 의 주축의 길이는? [4점]
①


②

③

④


⑤

이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2023.pdf,40,N/A,"4
(기하)
짝수형
20
20
단답형"
2023.pdf,40,29,"29. 평면  위에 
AB 
CD 
AD , ∠ABC ∠BCD 
인 
사다리꼴 ABCD가 있다. 다음 조건을 만족시키는 평면  위의 
두 점 P , Q에 대하여 
CP⋅
DQ 의 값을 구하시오. [4점]
(가) 
AC 
AD
BP
(나) 
AC⋅
PQ 
(다) ×∠BQA ∠PBQ 
"
2023.pdf,40,30,"30. 좌표공간에 정사면체 ABCD가 있다. 정삼각형 BCD의 
외심을 중심으로 하고 점 B를 지나는 구를 라 하자. 
구 와 선분 AB가 만나는 점 중 B가 아닌 점을 P, 
구 와 선분 AC가 만나는 점 중 C가 아닌 점을 Q, 
구 와 선분 AD가 만나는 점 중 D가 아닌 점을 R라 하고, 
점 P 에서 구 에 접하는 평면을 라 하자. 
구 의 반지름의 길이가 일 때, 삼각형 PQR의 평면  
위로의 정사영의 넓이는 이다. 의 값을 구하시오. [4점]
* 확인 사항
◦답안지의 해당란에 필요한 내용을 정확히 기입(표기)했는지 확인
하시오.
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,1,N/A,"홀수형
1
1
20
5지선다형"
2024.pdf,1,1,"1. 

× 

의 값은? [2점]
①
②
③
④
⑤"
2024.pdf,1,2,"2. 함수 에 대하여 lim
→

의 
값은? [2점]
①
②
③
④
⑤"
2024.pdf,1,3,"3. 
인 에 대하여 sin
일 때, 
tan의 값은? [3점]
①


②


③

④

⑤

"
2024.pdf,1,4,"4. 함수









≥
가 실수 전체의 집합에서 연속일 때, 상수 의 값은? [3점]
①
②
③
④
⑤
2024학년도 대학수학능력시험 문제지
제2 교시
1
홀수형
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,2,N/A,"2  
홀수형
2
20"
2024.pdf,2,5,"5. 다항함수 가
′,

을 만족시킬 때, 의 값은? [3점]
①
②
③
④
⑤"
2024.pdf,2,6,"6. 등비수열 의 첫째항부터 제항까지의 합을 이라 하자.
,


일 때, 의 값은? [3점] 
①
②
③
④
⑤"
2024.pdf,2,7,"7. 함수 
가 에서 극대이고 
에서 극소일 때, 의 값은? (단, 와 는 상수이다.) 
[3점]
①
②
③
④
⑤
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,3,N/A,"홀수형
3
3
20"
2024.pdf,3,8,"8. 삼차함수 가 모든 실수 에 대하여 

를 만족시킬 때, 


의 값은? [3점]
①
②
③
④
⑤"
